"X8R17 : BASE,NBK,LAT,CTO,WW,5290D",,
5NJ2H,"SRV,DRVR,AUDIO,RLTK,5290D",1
81HXT,"SRV,SW,MS,RMTDT",1
9JTWW,"SRV,DRVR,AUDIOTRINITYTB16,WD15",1
G06VT,"SRV,DRVR,RTK,USB,LAN,5290D",1
GPC9H,"SRV,DRVR,IGFX,KBL,5290D",1
GR2XR,"SRV,DRVR,USH,DCP,5290D",1
JCDH0,"SRV,DRVR,IR CAMERA,5290D",1
JRV1C,"SRV,DRVR,CHIPSET,INF,5290D",1
M3C3H,"INFO,RYLTY,WAVES-MAXX,AUD,PRO",1
PJ41F,"SRV,DRVR,SERIAL IO,INTEL,5290D",1
RDX5C,"SRV,W10,INTEL,PPM",1
TGRM4,"SRV,DRVR,SKYCAM,INTEL,5290D",1
TVCJ7,"SRV,DRVR,LAN,TRINITY,TB16",1
WX4P1,"SRV,SW,FISH,WBI OPTIMIZATION",1
WXM2C,"SRV,BIOS RECOVERY 2",1
"66D8J : Module,Information,Energy Star ,6.1,7350",,
PART NUMBER,DESCRIPTION,QUANTITY
07HF9,"SRV,DRVR,ESTR,XLOB",1
"5V4F2 : MOD,CVR,NO FP/SC/NFC,5290D",,
PART NUMBER,DESCRIPTION,QUANTITY
V33Y2,"ASSY,CVR,NO FP/SC/NFC,5290D",1
"5KHCT : SHIP,NBK,WW,MIN,5285",,
PART NUMBER,DESCRIPTION,QUANTITY
2J81W,"INFO,MIN-CONFIG,NB,BIZ,DAO",1
TR2C9,"INFO,RYLTY,SI,TPM-MIDDLEWARE",1
"5F50G : MOD,BTRY,42WHR,4C,LITH,SMP",,
PART NUMBER,DESCRIPTION,QUANTITY
FTH6F,"Battery,Primary,42WHR,4C,Lithium,Symmetric Multiprocessing",1
"4P84D : Service Install Module,Dcsu,So ftware,Appian",,
PART NUMBER,DESCRIPTION,QUANTITY
9WV3G,"INFO,.NET@V,35000,SP1",1
CPWK1,"SRV,SW,DCU,APP,UWP",1
GFGV0,"SRV,SW,DCU,APP",1
"3E476 : Information,Equipment",,
PART NUMBER,DESCRIPTION,QUANTITY
3E476,"Information,Equipment",1
"2F1WX : MOD,LBL,REG,1820+WAN,5290D,DAO",,
PART NUMBER,DESCRIPTION,QUANTITY
GDDPV,"LBL,REG,WL1820+WWAN,5290D,DAO",1
"2501H : MOD,CRD,NTWK,M.2,1820,WW,SAR",,
PART NUMBER,DESCRIPTION,QUANTITY
15T2F,"LBL,REG,WRLES,61X4A,WW,M2,BC",1
97XFP,"CRD,WRLES,M.2,QCA61X4A,SAR",1
